,trade_date,close
0,20191028,34.8
1,20191025,33.43
2,20191024,33.56
3,20191023,33.13
4,20191022,33.68
5,20191021,33.86
6,20191018,33.76
7,20191017,32.98
8,20191016,32.42
9,20191015,32.6
10,20191014,31.12
11,20191011,30.38
12,20191010,30.33
13,20191009,30.06
14,20191008,30.0
15,20190930,30.48
16,20190927,30.45
17,20190926,30.36
18,20190925,30.77
19,20190924,31.57
20,20190923,31.62
21,20190920,32.02
22,20190919,31.52
23,20190918,31.54
24,20190917,31.49
25,20190916,32.24
26,20190912,32.7
27,20190911,32.54
28,20190910,32.9
29,20190909,32.49
30,20190906,32.38
31,20190905,32.32
32,20190904,31.64
33,20190903,31.4
34,20190902,31.62
35,20190830,31.5
36,20190829,31.91
37,20190828,32.32
38,20190827,32.31
39,20190826,32.37
40,20190823,32.4
41,20190822,32.27
42,20190821,31.65
43,20190820,32.04
44,20190819,32.25
45,20190816,31.86
46,20190815,30.85
47,20190814,31.79
48,20190813,31.32
49,20190812,31.91
50,20190809,31.65
51,20190808,32.04
52,20190807,31.41
53,20190806,31.3
54,20190805,31.6
55,20190802,32.17
56,20190801,32.8
57,20190731,33.36
58,20190730,33.77
59,20190729,33.81
60,20190726,34.45
61,20190725,33.45
62,20190724,32.71
63,20190723,32.3
64,20190722,32.13
65,20190719,32.84
66,20190718,33.18
67,20190717,33.66
68,20190716,33.44
69,20190715,35.42
70,20190712,39.35
71,20190711,39.41
72,20190710,39.25
73,20190709,39.23
74,20190708,39.49
75,20190705,40.14
76,20190704,40.2
77,20190703,40.33
78,20190702,41.0
79,20190701,40.79
80,20190628,39.82
81,20190627,40.1
82,20190626,39.91
83,20190625,39.8
84,20190624,39.21
85,20190621,39.29
86,20190620,39.24
87,20190619,38.75
88,20190618,38.49
89,20190617,38.39
90,20190614,38.67
91,20190613,39.61
92,20190612,39.82
93,20190611,40.63
94,20190610,39.84
95,20190606,39.7
96,20190605,40.31
97,20190604,40.3
98,20190603,40.57
99,20190531,40.83
100,20190530,40.87
101,20190529,40.92
102,20190528,41.25
103,20190527,41.24
104,20190524,40.09
105,20190523,40.22
106,20190522,41.08
107,20190521,41.01
108,20190520,40.7
109,20190517,40.41
110,20190516,41.4
111,20190515,41.22
112,20190514,40.62
113,20190513,41.47
114,20190510,41.05
115,20190509,39.76
116,20190508,40.8
117,20190507,40.95
118,20190506,41.9
119,20190430,43.79
120,20190429,47.2
121,20190426,48.47
122,20190425,50.04
123,20190424,50.45
124,20190423,49.45
125,20190422,49.11
126,20190419,49.37
127,20190418,49.15
128,20190417,49.76
129,20190416,49.88
130,20190415,49.01
131,20190412,49.18
132,20190411,49.4
133,20190410,51.0
134,20190409,50.68
135,20190408,49.23
136,20190404,49.23
137,20190403,48.98
138,20190402,48.61
139,20190401,49.18
140,20190329,47.45
141,20190328,46.35
142,20190327,47.0
143,20190326,46.58
144,20190325,47.05
145,20190322,48.23
146,20190321,48.3
147,20190320,48.79
148,20190319,49.3
149,20190318,49.9
150,20190315,47.53
151,20190314,47.28
152,20190313,45.85
153,20190312,46.35
154,20190311,45.8
155,20190308,44.87
156,20190307,46.48
157,20190306,47.41
158,20190305,47.3
159,20190304,46.9
160,20190301,46.23
161,20190228,45.74
162,20190227,45.4
163,20190226,45.87
164,20190225,45.84
165,20190222,44.25
166,20190221,44.54
167,20190220,45.06
168,20190219,45.24
169,20190218,45.86
170,20190215,43.25
171,20190214,44.14
172,20190213,43.61
173,20190212,43.71
174,20190211,42.5
175,20190201,41.65
176,20190131,41.05
177,20190130,40.8
178,20190129,40.5
179,20190128,40.34
180,20190125,40.19
