,date,code,name,weight
0,2019-09-30,600000,浦发银行,1.12
1,2019-09-30,600004,白云机场,0.19
2,2019-09-30,600009,上海机场,0.62
3,2019-09-30,600010,包钢股份,0.22
4,2019-09-30,600011,华能国际,0.21
5,2019-09-30,600015,华夏银行,0.37
6,2019-09-30,600016,民生银行,1.21
7,2019-09-30,600018,上港集团,0.15
8,2019-09-30,600019,宝钢股份,0.43
9,2019-09-30,600023,浙能电力,0.13
10,2019-09-30,600025,华能水电,0.06
11,2019-09-30,600027,华电国际,0.09
12,2019-09-30,600028,中国石化,0.54
13,2019-09-30,600029,南方航空,0.18
14,2019-09-30,600030,中信证券,1.43
15,2019-09-30,600031,三一重工,0.68
16,2019-09-30,600036,招商银行,2.89
17,2019-09-30,600038,中直股份,0.11
18,2019-09-30,600048,保利地产,0.82
19,2019-09-30,600050,中国联通,0.45
20,2019-09-30,600061,国投资本,0.17
21,2019-09-30,600066,宇通客车,0.15
22,2019-09-30,600068,葛洲坝,0.13
23,2019-09-30,600085,同仁堂,0.12
24,2019-09-30,600089,特变电工,0.2
25,2019-09-30,600100,同方股份,0.16
26,2019-09-30,600104,上汽集团,0.67
27,2019-09-30,600109,国金证券,0.17
28,2019-09-30,600111,北方稀土,0.19
29,2019-09-30,600115,东方航空,0.19
30,2019-09-30,600118,中国卫星,0.1
31,2019-09-30,600153,建发股份,0.1
32,2019-09-30,600170,上海建工,0.12
33,2019-09-30,600176,中国巨石,0.14
34,2019-09-30,600177,雅戈尔,0.18
35,2019-09-30,600188,兖州煤业,0.08
36,2019-09-30,600196,复星医药,0.21
37,2019-09-30,600208,新湖中宝,0.1
38,2019-09-30,600219,南山铝业,0.12
39,2019-09-30,600221,海航控股,0.17
40,2019-09-30,600233,圆通速递,0.03
41,2019-09-30,600271,航天信息,0.19
42,2019-09-30,600276,恒瑞医药,2.02
43,2019-09-30,600297,广汇汽车,0.1
44,2019-09-30,600299,安迪苏,0.03
45,2019-09-30,600309,万华化学,0.56
46,2019-09-30,600332,白云山,0.16
47,2019-09-30,600339,中油工程,0.05
48,2019-09-30,600340,华夏幸福,0.39
49,2019-09-30,600346,恒力石化,0.13
50,2019-09-30,600352,浙江龙盛,0.3
51,2019-09-30,600362,江西铜业,0.12
52,2019-09-30,600369,西南证券,0.1
53,2019-09-30,600372,中航电子,0.06
54,2019-09-30,600383,金地集团,0.21
55,2019-09-30,600390,五矿资本,0.04
56,2019-09-30,600398,海澜之家,0.12
57,2019-09-30,600406,国电南瑞,0.31
58,2019-09-30,600415,小商品城,0.08
59,2019-09-30,600436,片仔癀,0.25
60,2019-09-30,600438,通威股份,0.2
61,2019-09-30,600482,中国动力,0.13
62,2019-09-30,600487,亨通光电,0.17
63,2019-09-30,600489,中金黄金,0.12
64,2019-09-30,600498,烽火通信,0.16
65,2019-09-30,600516,方大炭素,0.15
66,2019-09-30,600519,贵州茅台,4.66
67,2019-09-30,600522,中天科技,0.17
68,2019-09-30,600535,天士力,0.11
69,2019-09-30,600547,山东黄金,0.28
70,2019-09-30,600566,济川药业,0.07
71,2019-09-30,600570,恒生电子,0.38
72,2019-09-30,600583,海油工程,0.1
73,2019-09-30,600585,海螺水泥,0.67
74,2019-09-30,600588,用友网络,0.31
75,2019-09-30,600606,绿地控股,0.21
76,2019-09-30,600637,东方明珠,0.15
77,2019-09-30,600660,福耀玻璃,0.24
78,2019-09-30,600663,陆家嘴,0.1
79,2019-09-30,600674,川投能源,0.14
80,2019-09-30,600688,上海石化,0.07
81,2019-09-30,600690,海尔智家,0.45
82,2019-09-30,600703,三安光电,0.28
83,2019-09-30,600704,物产中大,0.08
84,2019-09-30,600705,中航资本,0.2
85,2019-09-30,600733,北汽蓝谷,0.02
86,2019-09-30,600741,华域汽车,0.3
87,2019-09-30,600760,中航沈飞,0.11
88,2019-09-30,600795,国电电力,0.23
89,2019-09-30,600809,山西汾酒,0.16
90,2019-09-30,600816,安信信托,0.08
91,2019-09-30,600837,海通证券,0.93
92,2019-09-30,600867,通化东宝,0.17
