code,symbol,name,industry
688139,,N海尔,医疗保健
002965,,N祥鑫,汽车配件
600069,,银鸽投资,造纸
002303,,美盈森,造纸
603815,,交建股份,建筑工程
603569,,长久物流,仓储物流
300534,,陇神戎发,中成药
002330,,得利斯,食品
300089,,文化长城,文教休闲
300007,,汉威科技,电器仪表
601689,,拓普集团,汽车配件
603069,,海汽集团,公路
002513,,蓝丰生化,农药化肥
603608,,天创时尚,服饰
300795,,米奥兰特,综合类
002714,,牧原股份,农业综合
603668,,天马科技,饲料
300731,,科创新源,橡胶
300109,,新开源,化工原料
002239,,奥特佳,汽车配件
300785,,值得买,互联网
002458,,益生股份,农业综合
300793,,佳禾智能,IT设备
000910,,大亚圣象,家居用品
300541,,先进数通,软件服务
000526,,紫光学大,文教休闲
000158,,常山北明,软件服务
300551,,古鳌科技,专用机械
300078,,思创医惠,元器件
002351,,漫步者,IT设备
002291,,星期六,服饰
603022,,新通联,广告包装
300313,,天山生物,农业综合
300312,,邦讯技术,通信设备
600223,,鲁商发展,区域地产
300431,,暴风集团,互联网
300761,,立华股份,农业综合
000876,,新 希 望,饲料
300552,,万集科技,软件服务
300267,,尔康制药,化学制药
600783,,鲁信创投,多元金融
300709,,精研科技,元器件
600703,,三安光电,半导体
603456,,九洲药业,化学制药
603707,,健友股份,化学制药
601808,,中海油服,石油开采
603040,,新坐标,机械基件
603068,,博通集成,半导体
002054,,德美化工,化工原料
002084,,海鸥住工,家居用品
000068,,华控赛格,环境保护
300277,,海联讯,软件服务
300251,,光线传媒,影视音像
000793,,华闻集团,出版业
002600,,领益智造,元器件
300596,,利安隆,化工原料
002384,,东山精密,通信设备
603896,,寿仙谷,中成药
002637,,赞宇科技,日用化工
603033,,三维股份,橡胶
603688,,石英股份,矿物制品
002169,,智光电气,电气设备
600257,,大湖股份,渔业
300632,,光莆股份,半导体
300209,,天泽信息,软件服务
300324,,旋极信息,软件服务
002505,,大康农业,农业综合
000066,,中国长城,IT设备
300451,,创业慧康,软件服务
300075,,数字政通,软件服务
600276,,恒瑞医药,化学制药
300659,,中孚信息,软件服务
300790,,宇瞳光学,电器仪表
600749,,西藏旅游,旅游景点
300108,,吉药控股,中成药
002793,,东音股份,专用机械
000603,,盛达矿业,铅锌
300019,,硅宝科技,化工原料
002130,,沃尔核材,电气设备
