ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300360.SZ,20191025,9.87,0.8155,1.1934,0.63,29.7663,28.64,1.89,4.6369,5.1304,40961.915,33220.7055,22699.3305,404294.1011,327888.3633
601789.SH,20191025,3.69,0.4743,0.8154,1.1,16.4051,15.979,1.2944,0.2317,0.2194,97608.0,97608.0,56774.471,360173.52,360173.52
300392.SZ,20191025,7.28,1.7783,2.7958,0.65,137.8712,37.3398,5.5901,2.0986,2.1139,38400.0,25900.3594,16474.0974,279552.0,188554.6164
601615.SH,20191025,12.19,4.7995,4.7995,1.32,39.4839,27.3827,2.8654,2.4368,2.0084,137972.2378,27590.0,27590.0,1681881.5788,336322.1
000727.SZ,20191025,2.1,0.5714,0.7349,0.61,,,1.0763,1.668,1.6174,452956.698,293065.5908,227861.9684,951209.0658,615437.7407
002285.SZ,20191025,3.73,0.2218,0.4473,0.86,18.3301,71.8259,1.4238,1.0115,1.116,204297.0972,200966.4876,99651.1351,762028.1726,749604.9987
002882.SZ,20191025,10.66,2.5952,2.5952,2.32,18.9991,17.3677,2.7359,1.3907,1.251,43290.0,8625.0,8625.0,461471.4,91942.5
002109.SZ,20191025,3.49,0.5193,0.8774,0.85,15.4382,23.3262,0.9946,1.7903,1.8484,105294.4789,54498.8434,32251.4745,367477.7314,190200.9635
300035.SZ,20191025,5.71,1.499,1.603,0.9,23.4654,18.7994,2.3103,4.9391,3.9904,53570.6058,40669.8386,38030.6561,305888.1591,232224.7784
603890.SH,20191025,9.38,1.9364,2.2143,1.38,23.6605,26.2917,1.8152,1.4482,1.4149,27398.5,13549.48,11849.268,256997.93,127094.1224
600825.SH,20191025,4.55,0.3405,0.702,0.65,150.1855,173.0985,1.8687,3.4173,3.4257,104488.785,104488.785,50686.785,475423.9718,475423.9718
002621.SZ,20191025,12.77,0.7024,1.7189,1.59,239.1502,74.2579,5.8529,28.4356,12.8232,59088.1492,54431.5562,22242.647,754555.6653,695090.9727
002007.SZ,20191025,37.3,0.7472,1.2066,0.91,45.9267,43.8462,9.0774,16.2685,15.3097,140305.902,120361.1055,74533.9144,5233410.1446,4489469.2352
