ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
515030.SH,新汽车,华夏基金,中国银行,股票型,20200220,,20200304,20200203,,107.6288,0.5,0.1,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20200304,20200304,E
502000.SH,500增强,西部利得基金,兴业银行,股票型,20200219,,20200224,20200219,,3.5764,1.0,0.2,,1.0,,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20200224,20200224,E
515160.SH,MSCICHNA,招商基金,中国银行,股票型,20200203,,20200302,20191209,,5.0796,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
159994.SZ,5GETF,银华基金,中国农业银行,股票型,20200122,,20200228,20191227,,10.97,0.5,0.1,,1.0,0.1,,中证5G通信主题指数,L,被动指数型,契约型开放式,,20200228,20200228,E
515210.SH,钢铁ETF,国泰基金,招商银行,股票型,20200122,,20200302,20200102,,4.3523,0.5,0.1,,1.0,0.1,,中证钢铁指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
515850.SH,证券FG,富国基金,中国建设银行,股票型,20200121,,20200221,20191016,,5.0829,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20200221,20200221,E
159995.SZ,芯片ETF,华夏基金,中国建设银行,股票型,20200120,,20200210,20191224,,53.8846,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
515220.SH,煤炭ETF,国泰基金,中国工商银行,股票型,20200120,,20200302,20200102,,3.9259,0.5,0.1,,1.0,0.1,,中证煤炭指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
159801.SZ,芯片基金,广发基金,中国工商银行,股票型,20200120,,20200218,20200106,,25.2406,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200218,20200218,E
515090.SH,可持续,博时基金,招商银行,股票型,20200119,,20200220,20191216,,14.708,0.5,0.1,,1.0,0.1,,中证可持续发展100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200220,20200220,E
515450.SH,红利50,南方基金,中国农业银行,股票型,20200117,,20200226,20191223,,4.7346,0.5,0.1,,1.0,0.1,,标普中国A股大盘红利低波50指数收益率,L,被动指数型,契约型开放式,,20200226,20200226,E
515700.SH,新能车,平安基金,招商证券,股票型,20191231,,20200210,20191209,,2.8851,0.15,0.05,,1.0,0.1,,中证新能源汽车产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
159993.SZ,龙头券商,鹏华基金,中信证券,股票型,20191226,,20200207,20191209,,9.747,0.5,0.1,,1.0,0.1,,国证证券龙头指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
515350.SH,民生300,民生加银基金,中国农业银行,股票型,20191224,,20200207,20191021,,3.6206,0.15,0.05,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20200207,20200207,E
515980.SH,人工智能,华富基金,招商银行,股票型,20191224,,20200210,20191209,,2.9506,0.5,0.1,,1.0,0.1,,中证人工智能产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
159986.SZ,消费100,弘毅远方基金,广发证券,股票型,20191219,,20200120,20190923,,2.1115,0.3,0.1,,1.0,0.1,,国证消费100指数收益率,L,被动指数型,契约型开放式,,20200120,20200120,E
501090.SH,消费龙头,华宝基金,中国民生银行,股票型,20191219,,20200106,20191008,,2.8858,0.75,0.1,,1.0,0.0001,,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200106,20200106,E
512730.SH,银行FUND,鹏华基金,中国建设银行,股票型,20191219,,20200207,20191008,,3.2558,0.3,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
159970.SZ,深100ET,工银瑞信基金,浦发银行,股票型,20191219,,20200110,20191014,,5.0826,0.45,0.1,,1.0,0.1,,深证100指数收益率,L,被动指数型,契约型开放式,,20200110,20200110,E
159979.SZ,湾创100,广发基金,招商银行,股票型,20191216,,20200214,20190909,,2.4493,0.3,0.1,,1.0,0.1,,同期粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200214,20200214,E
159981.SZ,能源化工,建信基金,中国农业银行,商品型,20191213,,20200117,20191111,,4.8454,0.5,0.1,,1.0,0.1,,易盛郑商所能源化工指数A收益率,L,能源化工期货型,契约型开放式,,20200117,20200117,E
