ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
009020.OF,中欧睿尚定期开放C,中欧基金,招商银行,混合型,20200309,,,,,,0.7,0.15,,1.0,,,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,L,混合型,契约型开放式,,20200309,20200309,O
485018.OF,工银瑞信7天理财B,工银瑞信基金,中国建设银行,债券型,20200309,,,20200309,,,0.27,0.08,,1.0,,,人民币七天通知存款利率(税后),L,债券型,契约型开放式,,20200316,20200309,O
485118.OF,工银瑞信7天理财A,工银瑞信基金,中国建设银行,债券型,20200309,,,20200309,,,0.27,0.08,,1.0,,,人民币七天通知存款利率(税后),L,债券型,契约型开放式,,20200316,20200309,O
511380.OF,博时中证可转债及可交换债券ETF,博时基金,招商银行,债券型,20200306,,,20200210,,6.0187,0.15,0.05,,1.0,0.1,,中证可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,,,,O
005368.OF,富国清洁能源产业,富国基金,招商银行,混合型,20200306,,,20200226,,17.5066,1.5,0.25,,1.0,0.001,,中证新能源指数收益率*80%+恒生中国企业指数收益率(经汇率调整后)*10%+中债综合全价指数收益率*10%,L,灵活配置型,契约型开放式,,,,O
008145.OF,兴全优选进取三个月,兴全基金,中国工商银行,混合型,20200306,,,20200302,,19.7831,1.0,0.2,,1.0,0.0001,,中证偏股型基金指数收益率*80%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,,,O
008635.OF,华安科技创新,华安基金,中国农业银行,混合型,20200306,,,20200302,,9.8959,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
009077.OF,红土创新稳进A,红土创新基金,招商银行,混合型,20200306,,,20200303,,1.2775,0.6,0.1,,1.0,0.001,,中证全债指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
009078.OF,红土创新稳进C,红土创新基金,招商银行,混合型,20200306,,,20200303,,2.675,0.6,0.1,,1.0,0.001,,中证全债指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
008620.OF,嘉实致宁3个月定开,嘉实基金,南京银行,债券型,20200306,,,20191226,,2.0156,0.3,0.1,,1.0,0.0001,,中债总全价指数收益率,L,债券型,契约型开放式,,,,O
008662.OF,中银澳享一年定开,中银基金,招商银行,债券型,20200306,,,20200303,,9.6,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,,,O
008961.OF,华商科技创新,华商基金,交通银行,混合型,20200306,,,20200303,,9.8844,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*65%+中债综合全价(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
159805.OF,鹏华中证传媒ETF,鹏华基金,中国建设银行,股票型,20200306,,,20200217,,24.6245,0.5,0.1,,1.0,0.1,,中证传媒指数收益率,L,被动指数型,契约型开放式,,,,O
