ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
160807.SZ,20200311,1.352,1.35,1.358,1.335,1.335,-0.017,-1.2574,7723.55,1040.6
160807.SZ,20200310,1.488,1.339,1.37,1.339,1.352,-0.136,-9.1398,25052.82,3369.27
160807.SZ,20200309,1.653,1.488,1.488,1.488,1.488,-0.165,-9.9819,4584.0,682.099
160807.SZ,20200306,1.503,1.503,1.653,1.501,1.653,0.15,9.98,2521.05,410.336
160807.SZ,20200305,1.366,1.39,1.503,1.39,1.503,0.137,10.0293,2460.45,358.489
160807.SZ,20200303,1.368,1.369,1.369,1.366,1.366,-0.002,-0.1462,114.53,15.676
160807.SZ,20200302,1.32,1.364,1.368,1.364,1.368,0.048,3.6364,810.0,110.783
160807.SZ,20200228,1.35,1.421,1.421,1.265,1.32,-0.03,-2.2222,278.68,36.86
160807.SZ,20200227,1.343,1.343,1.35,1.343,1.35,0.007,0.5212,13.0,1.75
160807.SZ,20200226,1.366,1.36,1.36,1.343,1.343,-0.023,-1.6837,194.74,26.476
160807.SZ,20200225,1.35,1.311,1.37,1.311,1.366,0.016,1.1852,87.74,11.718
160807.SZ,20200224,1.355,1.347,1.472,1.344,1.35,-0.005,-0.369,98.0,13.562
160807.SZ,20200221,1.355,1.355,1.355,1.355,1.355,0.0,0.0,10.0,1.355
160807.SZ,20200220,1.342,1.341,1.355,1.341,1.355,0.013,0.9687,411.05,55.247
160807.SZ,20200219,1.319,1.324,1.342,1.324,1.342,0.023,1.7437,243.0,32.596
160807.SZ,20200218,1.324,1.323,1.342,1.313,1.319,-0.005,-0.3776,757.65,100.293
160807.SZ,20200217,1.298,1.332,1.332,1.301,1.324,0.026,2.0031,446.49,58.503
160807.SZ,20200214,1.287,1.282,1.363,1.282,1.298,0.011,0.8547,857.63,115.194
160807.SZ,20200213,1.308,1.302,1.302,1.287,1.287,-0.021,-1.6055,141.02,18.36
160807.SZ,20200212,1.287,1.286,1.308,1.286,1.308,0.021,1.6317,430.07,55.38
160807.SZ,20200211,1.278,1.281,1.291,1.28,1.287,0.009,0.7042,974.23,124.819
160807.SZ,20200210,1.26,1.26,1.287,1.185,1.278,0.018,1.4286,765.46,97.215
160807.SZ,20200207,1.301,1.289,1.29,1.248,1.26,-0.041,-3.1514,1260.53,159.797
160807.SZ,20200206,1.433,1.29,1.4,1.29,1.301,-0.132,-9.2114,572.59,74.71
160807.SZ,20200205,1.303,1.238,1.433,1.238,1.433,0.13,9.977,508.71,71.891
160807.SZ,20200204,1.2,1.25,1.319,1.25,1.303,0.103,8.5833,601.68,76.485
160807.SZ,20200203,1.331,1.218,1.219,1.2,1.2,-0.131,-9.8422,263.0,31.644
160807.SZ,20200123,1.342,1.302,1.331,1.302,1.331,-0.011,-0.8197,470.16,61.857
160807.SZ,20200122,1.353,1.307,1.349,1.307,1.342,-0.011,-0.813,462.88,62.22
160807.SZ,20200121,1.351,1.355,1.394,1.353,1.353,0.002,0.148,414.29,56.58
160807.SZ,20200120,1.43,1.455,1.455,1.436,1.438,0.008,0.5594,272.17,39.107
160807.SZ,20200117,1.439,1.418,1.43,1.418,1.43,-0.009,-0.6254,170.3,24.252
160807.SZ,20200116,1.561,1.42,1.439,1.42,1.439,-0.122,-7.8155,44.21,6.296
160807.SZ,20200115,1.562,1.428,1.561,1.428,1.561,-0.001,-0.064,3.0,0.455
160807.SZ,20200114,1.42,1.477,1.562,1.477,1.562,0.142,10.0,482.66,71.792
160807.SZ,20200110,1.412,1.412,1.42,1.412,1.42,0.008,0.5666,128.0,18.124
160807.SZ,20200106,1.426,1.412,1.412,1.412,1.412,-0.014,-0.9818,5.11,0.721
160807.SZ,20200103,1.426,1.417,1.426,1.417,1.426,0.0,0.0,65.0,9.268
160807.SZ,20200102,1.4,1.423,1.43,1.423,1.426,0.026,1.8571,9.0,1.284
160807.SZ,20191231,1.393,1.396,1.4,1.396,1.4,0.007,0.5025,69.0,9.659
160807.SZ,20191230,1.391,1.373,1.395,1.373,1.393,0.002,0.1438,141.0,19.639
160807.SZ,20191227,1.369,1.391,1.391,1.391,1.391,0.022,1.607,50.0,6.955
160807.SZ,20191224,1.371,1.361,1.369,1.361,1.369,-0.002,-0.1459,158.6,21.599
160807.SZ,20191223,1.376,1.371,1.371,1.371,1.371,-0.005,-0.3634,2.0,0.274
160807.SZ,20191220,1.372,1.376,1.376,1.376,1.376,0.004,0.2915,37.0,5.091
160807.SZ,20191219,1.383,1.372,1.372,1.372,1.372,-0.011,-0.7954,4.0,0.548
160807.SZ,20191217,1.353,1.375,1.386,1.375,1.383,0.03,2.2173,8.0,1.105
160807.SZ,20191216,1.355,1.353,1.353,1.353,1.353,-0.002,-0.1476,2.0,0.27
160807.SZ,20191213,1.333,1.351,1.355,1.351,1.355,0.022,1.6504,16.0,2.166
160807.SZ,20191211,1.31,1.333,1.333,1.333,1.333,0.023,1.7557,3.0,0.399
160807.SZ,20191203,1.326,1.31,1.31,1.31,1.31,-0.016,-1.2066,10.0,1.31
160807.SZ,20191129,1.337,1.326,1.326,1.326,1.326,-0.011,-0.8227,115.0,15.249
160807.SZ,20191122,1.34,1.337,1.337,1.337,1.337,-0.003,-0.2239,1.0,0.133
160807.SZ,20191120,1.33,1.343,1.343,1.337,1.34,0.01,0.7519,4.0,0.536
160807.SZ,20191118,1.323,1.316,1.33,1.316,1.33,0.007,0.5291,13.0,1.724
160807.SZ,20191114,1.336,1.323,1.323,1.323,1.323,-0.013,-0.9731,10.0,1.323
160807.SZ,20191112,1.337,1.336,1.336,1.336,1.336,-0.001,-0.0748,116.0,15.497
160807.SZ,20191111,1.356,1.353,1.356,1.337,1.337,-0.019,-1.4012,22.0,2.979
160807.SZ,20191108,1.343,1.366,1.366,1.356,1.356,0.013,0.968,17.0,2.32
160807.SZ,20191107,1.356,1.343,1.343,1.343,1.343,-0.013,-0.9587,31.0,4.163
160807.SZ,20191105,1.349,1.356,1.356,1.356,1.356,0.007,0.5189,11.0,1.491
160807.SZ,20191104,1.341,1.349,1.349,1.349,1.349,0.008,0.5966,29.0,3.912
160807.SZ,20191101,1.323,1.34,1.341,1.34,1.341,0.018,1.3605,3.0,0.402
160807.SZ,20191029,1.321,1.323,1.323,1.323,1.323,0.002,0.1514,418.0,55.301
160807.SZ,20191025,1.303,1.321,1.321,1.321,1.321,0.018,1.3814,1.0,0.132
160807.SZ,20191024,1.313,1.303,1.303,1.303,1.303,-0.01,-0.7616,79.0,10.293
160807.SZ,20191021,1.319,1.304,1.315,1.304,1.313,-0.006,-0.4549,210.0,27.393
160807.SZ,20191018,1.328,1.322,1.322,1.319,1.319,-0.009,-0.6777,4.0,0.528
160807.SZ,20191016,1.326,1.328,1.328,1.328,1.328,0.002,0.1508,1.0,0.132
160807.SZ,20191015,1.344,1.326,1.326,1.326,1.326,-0.018,-1.3393,10.42,1.381
160807.SZ,20191014,1.322,1.323,1.344,1.323,1.344,0.022,1.6641,192.42,25.535
160807.SZ,20191011,1.31,1.322,1.322,1.322,1.322,0.012,0.916,1.0,0.132
160807.SZ,20190930,1.314,1.31,1.31,1.31,1.31,-0.004,-0.3044,5.0,0.655
160807.SZ,20190927,1.325,1.314,1.314,1.314,1.314,-0.011,-0.8302,155.42,20.422
160807.SZ,20190924,1.32,1.323,1.325,1.323,1.325,0.005,0.3788,290.0,38.422
160807.SZ,20190923,1.318,1.32,1.32,1.32,1.32,0.002,0.1517,4.0,0.528
160807.SZ,20190920,1.323,1.319,1.319,1.318,1.318,-0.005,-0.3779,1000.05,131.807
160807.SZ,20190917,1.335,1.328,1.328,1.323,1.323,-0.012,-0.8989,98.0,12.99
160807.SZ,20190910,1.33,1.335,1.335,1.335,1.335,0.005,0.3759,3.0,0.4
160807.SZ,20190909,1.323,1.33,1.33,1.33,1.33,0.007,0.5291,60.0,7.98
160807.SZ,20190906,1.334,1.323,1.323,1.323,1.323,-0.011,-0.8246,100.0,13.23
160807.SZ,20190905,1.295,1.323,1.335,1.323,1.334,0.039,3.0116,96.0,12.804
160807.SZ,20190904,1.288,1.293,1.295,1.293,1.295,0.007,0.5435,39.0,5.05
160807.SZ,20190902,1.288,1.288,1.288,1.288,1.288,0.0,0.0,24.0,3.091
160807.SZ,20190830,1.279,1.288,1.288,1.288,1.288,0.009,0.7037,1.0,0.128
160807.SZ,20190828,1.285,1.279,1.279,1.279,1.279,-0.006,-0.4669,6.0,0.767
160807.SZ,20190827,1.29,1.279,1.285,1.279,1.285,-0.005,-0.3876,18.0,2.31
160807.SZ,20190821,1.277,1.29,1.29,1.29,1.29,0.013,1.018,46.0,5.934
160807.SZ,20190819,1.278,1.277,1.277,1.271,1.277,-0.001,-0.0782,65.0,8.294
160807.SZ,20190816,1.26,1.268,1.278,1.268,1.278,0.018,1.4286,51.0,6.467
160807.SZ,20190813,1.252,1.237,1.26,1.237,1.26,0.008,0.639,116.0,14.611
160807.SZ,20190809,1.246,1.255,1.255,1.252,1.252,0.006,0.4815,57.0,7.15
160807.SZ,20190808,1.269,1.246,1.246,1.246,1.246,-0.023,-1.8125,2.0,0.249
160807.SZ,20190805,1.28,1.269,1.269,1.269,1.269,-0.011,-0.8594,24.0,3.045
160807.SZ,20190801,1.29,1.28,1.28,1.28,1.28,-0.01,-0.7752,1.0,0.128
160807.SZ,20190724,1.269,1.285,1.29,1.285,1.29,0.021,1.6548,12.0,1.547
160807.SZ,20190719,1.276,1.269,1.269,1.269,1.269,-0.007,-0.5486,1.0,0.126
160807.SZ,20190718,1.263,1.276,1.281,1.276,1.276,0.013,1.0293,80.0,10.239
160807.SZ,20190716,1.279,1.263,1.263,1.263,1.263,-0.016,-1.251,20.0,2.526
160807.SZ,20190715,1.267,1.279,1.279,1.279,1.279,0.012,0.9471,20.0,2.558
160807.SZ,20190712,1.266,1.267,1.267,1.267,1.267,0.001,0.079,1.0,0.126
160807.SZ,20190711,1.26,1.267,1.267,1.266,1.266,0.006,0.4762,3.0,0.379
160807.SZ,20190709,1.271,1.26,1.26,1.26,1.26,-0.011,-0.8655,4.0,0.504
160807.SZ,20190708,1.289,1.283,1.283,1.263,1.271,-0.018,-1.3964,110.15,14.118
160807.SZ,20190705,1.287,1.289,1.289,1.289,1.289,0.002,0.1554,1.0,0.128
160807.SZ,20190704,1.309,1.287,1.287,1.287,1.287,-0.022,-1.6807,1.0,0.128
160807.SZ,20190703,1.298,1.309,1.309,1.309,1.309,0.011,0.8475,2.0,0.261
160807.SZ,20190701,1.253,1.289,1.298,1.289,1.298,0.045,3.5914,8.0,1.035
160807.SZ,20190628,1.268,1.256,1.258,1.253,1.253,-0.015,-1.183,8.0,1.004
160807.SZ,20190627,1.238,1.263,1.268,1.263,1.268,0.03,2.4233,7.0,0.887
160807.SZ,20190625,1.258,1.261,1.261,1.238,1.238,-0.02,-1.5898,16.0,1.983
160807.SZ,20190624,1.252,1.263,1.263,1.258,1.258,0.006,0.4792,23.0,2.894
160807.SZ,20190621,1.239,1.261,1.261,1.248,1.252,0.013,1.0492,12.0,1.502
160807.SZ,20190620,1.2,1.239,1.239,1.239,1.239,0.039,3.25,2.0,0.247
160807.SZ,20190618,1.219,1.206,1.206,1.2,1.2,-0.019,-1.5587,11.0,1.32
160807.SZ,20190617,1.212,1.219,1.219,1.219,1.219,0.007,0.5776,100.0,12.19
160807.SZ,20190614,1.217,1.216,1.216,1.211,1.212,-0.005,-0.4108,3.0,0.364
160807.SZ,20190612,1.215,1.219,1.219,1.217,1.217,0.002,0.1646,16.0,1.947
160807.SZ,20190611,1.192,1.209,1.215,1.209,1.215,0.023,1.9295,3.0,0.363
160807.SZ,20190610,1.192,1.192,1.192,1.192,1.192,0.0,0.0,15.0,1.788
160807.SZ,20190530,1.201,1.198,1.198,1.192,1.192,-0.009,-0.7494,17.0,2.028
160807.SZ,20190529,1.203,1.201,1.201,1.201,1.201,-0.002,-0.1663,29.0,3.482
160807.SZ,20190528,1.199,1.209,1.209,1.203,1.203,0.004,0.3336,2.0,0.241
160807.SZ,20190527,1.216,1.195,1.199,1.195,1.199,-0.017,-1.398,3.0,0.359
160807.SZ,20190522,1.208,1.203,1.216,1.203,1.216,0.008,0.6623,11.0,1.336
160807.SZ,20190521,1.223,1.208,1.208,1.208,1.208,-0.015,-1.2265,1.0,0.12
160807.SZ,20190517,1.213,1.223,1.223,1.223,1.223,0.01,0.8244,1.0,0.122
160807.SZ,20190515,1.208,1.213,1.213,1.213,1.213,0.005,0.4139,1.0,0.121
160807.SZ,20190514,1.213,1.208,1.208,1.208,1.208,-0.005,-0.4122,2.0,0.241
160807.SZ,20190513,1.206,1.213,1.22,1.213,1.213,0.007,0.5804,42.0,5.114
160807.SZ,20190510,1.192,1.196,1.206,1.196,1.206,0.014,1.1745,3.0,0.36
160807.SZ,20190509,1.215,1.192,1.192,1.192,1.192,-0.023,-1.893,1.0,0.119
160807.SZ,20190508,1.22,1.206,1.215,1.206,1.215,-0.005,-0.4098,2.0,0.242
160807.SZ,20190507,1.208,1.213,1.22,1.213,1.22,0.012,0.9934,30.0,3.639
160807.SZ,20190506,1.284,1.247,1.247,1.208,1.208,-0.076,-5.919,125.0,15.107
160807.SZ,20190429,1.305,1.286,1.286,1.284,1.284,-0.021,-1.6092,21.0,2.696
160807.SZ,20190425,1.303,1.307,1.307,1.301,1.305,0.002,0.1535,5.0,0.652
160807.SZ,20190424,1.319,1.303,1.303,1.303,1.303,-0.016,-1.213,132.0,17.199
160807.SZ,20190422,1.339,1.337,1.337,1.319,1.319,-0.02,-1.4937,116.02,15.359
160807.SZ,20190419,1.346,1.339,1.339,1.339,1.339,-0.007,-0.5201,1.0,0.133
160807.SZ,20190417,1.326,1.354,1.354,1.346,1.346,0.02,1.5083,223.0,30.095
160807.SZ,20190416,1.322,1.313,1.326,1.313,1.326,0.004,0.3026,5.0,0.659
160807.SZ,20190415,1.303,1.322,1.322,1.322,1.322,0.019,1.4582,1.0,0.132
160807.SZ,20190412,1.31,1.303,1.303,1.303,1.303,-0.007,-0.5344,1.0,0.13
160807.SZ,20190411,1.337,1.331,1.331,1.306,1.31,-0.027,-2.0194,485.28,63.576
160807.SZ,20190410,1.331,1.336,1.337,1.336,1.337,0.006,0.4508,2.0,0.267
160807.SZ,20190409,1.331,1.332,1.332,1.331,1.331,0.0,0.0,168.66,22.464
160807.SZ,20190408,1.33,1.346,1.346,1.331,1.331,0.001,0.0752,203.0,27.322
160807.SZ,20190404,1.312,1.327,1.33,1.327,1.33,0.018,1.372,118.74,15.792
160807.SZ,20190403,1.299,1.311,1.312,1.311,1.312,0.013,1.0008,2.0,0.262
160807.SZ,20190402,1.295,1.299,1.3,1.296,1.299,0.004,0.3089,392.02,50.836
160807.SZ,20190401,1.257,1.29,1.305,1.289,1.295,0.038,3.0231,116.0,15.03
160807.SZ,20190329,1.239,1.253,1.257,1.253,1.257,0.018,1.4528,3.0,0.376
160807.SZ,20190327,1.233,1.239,1.239,1.239,1.239,0.006,0.4866,2.0,0.247
160807.SZ,20190326,1.242,1.233,1.233,1.233,1.233,-0.009,-0.7246,2.0,0.246
160807.SZ,20190325,1.26,1.253,1.253,1.239,1.242,-0.018,-1.4286,5.0,0.623
160807.SZ,20190322,1.262,1.256,1.26,1.256,1.26,-0.002,-0.1585,3.0,0.377
160807.SZ,20190320,1.26,1.263,1.263,1.261,1.262,0.002,0.1587,3.0,0.378
160807.SZ,20190319,1.25,1.264,1.265,1.26,1.26,0.01,0.8,12.0,1.513
160807.SZ,20190318,1.246,1.25,1.25,1.25,1.25,0.004,0.321,188.15,23.518
160807.SZ,20190315,1.226,1.239,1.246,1.239,1.246,0.02,1.6313,3.0,0.373
160807.SZ,20190314,1.246,1.226,1.226,1.226,1.226,-0.02,-1.6051,5.0,0.613
160807.SZ,20190313,1.25,1.235,1.246,1.235,1.246,-0.004,-0.32,71.0,8.769
160807.SZ,20190312,1.232,1.249,1.251,1.249,1.25,0.018,1.461,5.0,0.625
160807.SZ,20190311,1.225,1.226,1.232,1.226,1.232,0.007,0.5714,10.0,1.229
160807.SZ,20190308,1.275,1.244,1.244,1.223,1.225,-0.05,-3.9216,17.0,2.095
160807.SZ,20190307,1.265,1.261,1.275,1.25,1.275,0.01,0.7905,126.0,16.01
160807.SZ,20190306,1.265,1.265,1.265,1.265,1.265,0.0,0.0,2.0,0.253
160807.SZ,20190305,1.272,1.265,1.265,1.265,1.265,-0.007,-0.5503,97.15,12.289
160807.SZ,20190304,1.218,1.259,1.282,1.259,1.272,0.054,4.4335,9.0,1.144
160807.SZ,20190301,1.226,1.228,1.228,1.218,1.218,-0.008,-0.6525,11.0,1.349
160807.SZ,20190228,1.211,1.207,1.226,1.207,1.226,0.015,1.2386,263.15,32.058
160807.SZ,20190227,1.226,1.216,1.216,1.211,1.211,-0.015,-1.2235,103.0,12.473
160807.SZ,20190226,1.227,1.245,1.245,1.226,1.226,-0.001,-0.0815,62.0,7.705
160807.SZ,20190225,1.162,1.176,1.227,1.176,1.227,0.065,5.5938,188.35,22.57
