cal_date,is_open,pretrade_date
20000101,0,19991230
20000102,0,19991230
20000103,0,19991230
20000104,1,19991230
20000105,1,20000104
20000106,1,20000105
20000107,1,20000106
20000108,0,20000107
20000109,0,20000107
20000110,1,20000107
20000111,1,20000110
20000112,1,20000111
20000113,1,20000112
20000114,1,20000113
20000115,0,20000114
20000116,0,20000114
20000117,1,20000114
20000118,1,20000117
20000119,1,20000118
20000120,1,20000119
20000121,1,20000120
20000122,0,20000121
20000123,0,20000121
20000124,1,20000121
20000125,1,20000124
20000126,1,20000125
20000127,1,20000126
20000128,1,20000127
20000129,0,20000128
20000130,0,20000128
20000131,0,20000128
20000201,0,20000128
20000202,0,20000128
20000203,0,20000128
20000204,0,20000128
20000205,0,20000128
20000206,0,20000128
20000207,0,20000128
20000208,0,20000128
20000209,0,20000128
20000210,0,20000128
20000211,0,20000128
20000212,0,20000128
20000213,0,20000128
20000214,1,20000128
20000215,1,20000214
20000216,1,20000215
20000217,1,20000216
20000218,1,20000217
20000219,0,20000218
20000220,0,20000218
20000221,1,20000218
20000222,1,20000221
20000223,1,20000222
20000224,1,20000223
20000225,1,20000224
20000226,0,20000225
20000227,0,20000225
20000228,1,20000225
20000229,1,20000228
20000301,1,20000229
20000302,1,20000301
20000303,1,20000302
20000304,0,20000303
20000305,0,20000303
20000306,1,20000303
20000307,1,20000306
20000308,1,20000307
20000309,1,20000308
20000310,1,20000309
20000311,0,20000310
20000312,0,20000310
20000313,1,20000310
20000314,1,20000313
20000315,1,20000314
20000316,1,20000315
20000317,1,20000316
20000318,0,20000317
20000319,0,20000317
20000320,1,20000317
20000321,1,20000320
20000322,1,20000321
20000323,1,20000322
20000324,1,20000323
20000325,0,20000324
20000326,0,20000324
20000327,1,20000324
20000328,1,20000327
20000329,1,20000328
20000330,1,20000329
20000331,1,20000330
20000401,0,20000331
20000402,0,20000331
20000403,1,20000331
20000404,1,20000403
20000405,1,20000404
20000406,1,20000405
20000407,1,20000406
20000408,0,20000407
20000409,0,20000407
20000410,1,20000407
20000411,1,20000410
20000412,1,20000411
20000413,1,20000412
20000414,1,20000413
20000415,0,20000414
20000416,0,20000414
20000417,1,20000414
20000418,1,20000417
20000419,1,20000418
20000420,1,20000419
20000421,1,20000420
20000422,0,20000421
20000423,0,20000421
20000424,1,20000421
20000425,1,20000424
20000426,1,20000425
20000427,1,20000426
20000428,1,20000427
20000429,0,20000428
20000430,0,20000428
20000501,0,20000428
20000502,0,20000428
20000503,0,20000428
20000504,0,20000428
20000505,0,20000428
20000506,0,20000428
20000507,0,20000428
20000508,1,20000428
20000509,1,20000508
20000510,1,20000509
20000511,1,20000510
20000512,1,20000511
20000513,0,20000512
20000514,0,20000512
20000515,1,20000512
20000516,1,20000515
20000517,1,20000516
20000518,1,20000517
20000519,1,20000518
20000520,0,20000519
20000521,0,20000519
20000522,1,20000519
20000523,1,20000522
20000524,1,20000523
20000525,1,20000524
20000526,1,20000525
20000527,0,20000526
20000528,0,20000526
20000529,1,20000526
20000530,1,20000529
20000531,1,20000530
20000601,1,20000531
20000602,1,20000601
20000603,0,20000602
20000604,0,20000602
20000605,1,20000602
20000606,1,20000605
20000607,1,20000606
20000608,1,20000607
20000609,1,20000608
20000610,0,20000609
20000611,0,20000609
20000612,1,20000609
20000613,1,20000612
20000614,1,20000613
20000615,1,20000614
20000616,1,20000615
20000617,0,20000616
20000618,0,20000616
20000619,1,20000616
20000620,1,20000619
20000621,1,20000620
20000622,1,20000621
20000623,1,20000622
20000624,0,20000623
20000625,0,20000623
20000626,1,20000623
20000627,1,20000626
20000628,1,20000627
20000629,1,20000628
20000630,1,20000629
20000701,0,20000630
20000702,0,20000630
20000703,1,20000630
20000704,1,20000703
20000705,1,20000704
20000706,1,20000705
20000707,1,20000706
20000708,0,20000707
20000709,0,20000707
20000710,1,20000707
20000711,1,20000710
20000712,1,20000711
20000713,1,20000712
20000714,1,20000713
20000715,0,20000714
20000716,0,20000714
20000717,1,20000714
20000718,1,20000717
20000719,1,20000718
20000720,1,20000719
20000721,1,20000720
20000722,0,20000721
20000723,0,20000721
20000724,1,20000721
20000725,1,20000724
20000726,1,20000725
20000727,1,20000726
20000728,1,20000727
20000729,0,20000728
20000730,0,20000728
20000731,1,20000728
20000801,1,20000731
20000802,1,20000801
20000803,1,20000802
20000804,1,20000803
20000805,0,20000804
20000806,0,20000804
20000807,1,20000804
20000808,1,20000807
20000809,1,20000808
20000810,1,20000809
20000811,1,20000810
20000812,0,20000811
20000813,0,20000811
20000814,1,20000811
20000815,1,20000814
20000816,1,20000815
20000817,1,20000816
20000818,1,20000817
20000819,0,20000818
20000820,0,20000818
20000821,1,20000818
20000822,1,20000821
20000823,1,20000822
20000824,1,20000823
20000825,1,20000824
20000826,0,20000825
20000827,0,20000825
20000828,1,20000825
20000829,1,20000828
20000830,1,20000829
20000831,1,20000830
20000901,1,20000831
20000902,0,20000901
20000903,0,20000901
20000904,1,20000901
20000905,1,20000904
20000906,1,20000905
20000907,1,20000906
20000908,1,20000907
20000909,0,20000908
20000910,0,20000908
20000911,1,20000908
20000912,1,20000911
20000913,1,20000912
20000914,1,20000913
20000915,1,20000914
20000916,0,20000915
20000917,0,20000915
20000918,1,20000915
20000919,1,20000918
20000920,1,20000919
20000921,1,20000920
20000922,1,20000921
20000923,0,20000922
20000924,0,20000922
20000925,1,20000922
20000926,1,20000925
20000927,1,20000926
20000928,1,20000927
20000929,1,20000928
20000930,0,20000929
20001001,0,20000929
20001002,0,20000929
20001003,0,20000929
20001004,0,20000929
20001005,0,20000929
20001006,0,20000929
20001007,0,20000929
20001008,0,20000929
20001009,1,20000929
20001010,1,20001009
20001011,1,20001010
20001012,1,20001011
20001013,1,20001012
20001014,0,20001013
20001015,0,20001013
20001016,1,20001013
20001017,1,20001016
20001018,1,20001017
20001019,1,20001018
20001020,1,20001019
20001021,0,20001020
20001022,0,20001020
20001023,1,20001020
20001024,1,20001023
20001025,1,20001024
20001026,1,20001025
20001027,1,20001026
20001028,0,20001027
20001029,0,20001027
20001030,1,20001027
20001031,1,20001030
20001101,1,20001031
20001102,1,20001101
20001103,1,20001102
20001104,0,20001103
20001105,0,20001103
20001106,1,20001103
20001107,1,20001106
20001108,1,20001107
20001109,1,20001108
20001110,1,20001109
20001111,0,20001110
20001112,0,20001110
20001113,1,20001110
20001114,1,20001113
20001115,1,20001114
20001116,1,20001115
20001117,1,20001116
20001118,0,20001117
20001119,0,20001117
20001120,1,20001117
20001121,1,20001120
20001122,1,20001121
20001123,1,20001122
20001124,1,20001123
20001125,0,20001124
20001126,0,20001124
20001127,1,20001124
20001128,1,20001127
20001129,1,20001128
20001130,1,20001129
20001201,1,20001130
20001202,0,20001201
20001203,0,20001201
20001204,1,20001201
20001205,1,20001204
20001206,1,20001205
20001207,1,20001206
20001208,1,20001207
20001209,0,20001208
20001210,0,20001208
20001211,1,20001208
20001212,1,20001211
20001213,1,20001212
20001214,1,20001213
20001215,1,20001214
20001216,0,20001215
20001217,0,20001215
20001218,1,20001215
20001219,1,20001218
20001220,1,20001219
20001221,1,20001220
20001222,1,20001221
20001223,0,20001222
20001224,0,20001222
20001225,1,20001222
20001226,1,20001225
20001227,1,20001226
20001228,1,20001227
20001229,1,20001228
20001230,0,20001229
20001231,0,20001229
20010101,0,20001229
20010102,1,20001229
20010103,1,20010102
20010104,1,20010103
20010105,1,20010104
20010106,0,20010105
20010107,0,20010105
