FSRQ,DWJZ,JZZZL,SGZT,SHZT
2018-01-02,0.9920,1.12,限制大额申购,开放赎回
2018-01-03,1.0040,1.21,限制大额申购,开放赎回
2018-01-04,1.0150,1.10,限制大额申购,开放赎回
2018-01-05,1.0150,0.00,限制大额申购,开放赎回
2018-01-08,1.0180,0.30,限制大额申购,开放赎回
2018-01-09,1.0190,0.10,限制大额申购,开放赎回
2018-01-10,1.0220,0.29,限制大额申购,开放赎回
2018-01-11,1.0350,1.27,限制大额申购,开放赎回
2018-01-12,1.0410,0.58,限制大额申购,开放赎回
2018-01-15,1.0370,-0.38,暂停申购,暂停赎回
2018-01-16,1.0260,-1.06,限制大额申购,开放赎回
2018-01-17,1.0300,0.39,限制大额申购,开放赎回
2018-01-18,1.0260,-0.39,限制大额申购,开放赎回
2018-01-19,1.0200,-0.58,限制大额申购,开放赎回
2018-01-22,1.0340,1.37,限制大额申购,开放赎回
2018-01-23,1.0340,0.00,限制大额申购,开放赎回
2018-01-24,1.0350,0.10,限制大额申购,开放赎回
2018-01-25,1.0310,-0.39,限制大额申购,开放赎回
2018-01-26,1.0270,-0.39,限制大额申购,开放赎回
2018-01-29,1.0140,-1.27,限制大额申购,开放赎回
2018-01-30,0.9940,-1.97,限制大额申购,开放赎回
2018-01-31,0.9940,0.00,限制大额申购,开放赎回
2018-02-01,0.9960,0.20,限制大额申购,开放赎回
2018-02-02,0.9700,-2.61,限制大额申购,开放赎回
2018-02-05,0.9410,-2.99,限制大额申购,开放赎回
2018-02-06,0.9350,-0.64,限制大额申购,开放赎回
2018-02-07,0.9270,-0.86,限制大额申购,开放赎回
2018-02-08,0.9010,-2.80,限制大额申购,开放赎回
2018-02-09,0.9010,0.00,限制大额申购,开放赎回
2018-02-12,0.9090,0.89,限制大额申购,开放赎回
2018-02-13,0.9110,0.22,限制大额申购,开放赎回
2018-02-14,0.9230,1.32,限制大额申购,开放赎回
2018-02-22,0.9270,0.43,限制大额申购,开放赎回
2018-02-23,0.9400,1.40,限制大额申购,开放赎回
2018-02-26,0.9460,0.64,限制大额申购,开放赎回
2018-02-27,0.9340,-1.27,限制大额申购,开放赎回
2018-02-28,0.9170,-1.82,限制大额申购,开放赎回
2018-03-01,0.9130,-0.44,限制大额申购,开放赎回
2018-03-02,0.9100,-0.33,限制大额申购,开放赎回
2018-03-05,0.9200,1.10,限制大额申购,开放赎回
2018-03-06,0.9220,0.22,限制大额申购,开放赎回
2018-03-07,0.9150,-0.76,限制大额申购,开放赎回
2018-03-08,0.9150,0.00,限制大额申购,开放赎回
2018-03-09,0.9280,1.42,限制大额申购,开放赎回
2018-03-12,0.9290,0.11,限制大额申购,开放赎回
2018-03-13,0.9240,-0.54,限制大额申购,开放赎回
2018-03-14,0.9180,-0.65,限制大额申购,开放赎回
2018-03-15,0.9130,-0.54,限制大额申购,开放赎回
2018-03-16,0.9230,1.10,限制大额申购,开放赎回
2018-03-19,0.9100,-1.41,限制大额申购,开放赎回
2018-03-20,0.9170,0.77,限制大额申购,开放赎回
2018-03-21,0.9370,2.18,限制大额申购,开放赎回
2018-03-22,0.9220,-1.60,限制大额申购,开放赎回
2018-03-23,0.9180,-0.43,限制大额申购,开放赎回
2018-03-26,0.9280,1.09,限制大额申购,开放赎回
2018-03-27,0.9210,-0.75,限制大额申购,开放赎回
2018-03-28,0.9070,-1.52,限制大额申购,开放赎回
2018-03-29,0.9250,1.98,限制大额申购,开放赎回
2018-03-30,0.9220,-0.32,暂停申购,暂停赎回
2018-04-02,0.9090,-1.41,限制大额申购,开放赎回
2018-04-03,0.9200,1.21,限制大额申购,开放赎回
2018-04-04,0.9220,0.22,限制大额申购,开放赎回
2018-04-09,0.9280,0.65,限制大额申购,开放赎回
2018-04-10,0.9500,2.37,限制大额申购,开放赎回
2018-04-11,0.9600,1.05,限制大额申购,开放赎回
2018-04-12,0.9620,0.21,限制大额申购,开放赎回
2018-04-13,0.9670,0.52,限制大额申购,开放赎回
2018-04-16,0.9680,0.10,限制大额申购,开放赎回
2018-04-17,0.9740,0.62,限制大额申购,开放赎回
2018-04-18,0.9930,1.95,限制大额申购,开放赎回
2018-04-19,0.9970,0.40,限制大额申购,开放赎回
2018-04-20,0.9920,-0.50,限制大额申购,开放赎回
2018-04-23,0.9970,0.50,限制大额申购,开放赎回
